City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Port Macquarie,AU,90.0,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
6,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
12,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
13,Busselton,AU,90.0,clear sky,-33.65,115.3333,Observatory Guest House
14,Atuona,PF,78.42,broken clouds,-9.8,-139.0333,Villa Enata
15,Thanh Hoa,VN,74.52,clear sky,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
17,East London,ZA,71.8,clear sky,-33.0153,27.9116,Tu Casa
18,Hukuntsi,BW,73.47,overcast clouds,-24.0,21.75,Entabeni Hotel
20,Port-Gentil,GA,80.69,overcast clouds,-0.7193,8.7815,Fengshui Residence
21,Arraial Do Cabo,BR,74.62,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
25,Vaini,TO,84.2,light rain,-21.2,-175.2,Keleti Beach Resort
29,Sainte-Marie,RE,78.8,broken clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
30,Hobart,AU,72.0,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
35,Carnarvon,AU,82.4,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
38,Dabakala,CI,71.62,clear sky,8.3667,-4.4333,Hôtel Campement
39,Cabo San Lucas,MX,70.0,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
41,Saint-Philippe,RE,80.6,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
45,Hithadhoo,MV,82.17,scattered clouds,-0.6,73.0833,Scoop Guest House
46,New Norfolk,AU,72.0,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
48,Avarua,CK,86.0,broken clouds,-21.2078,-159.775,Paradise Inn
51,Bambous Virieux,MU,82.0,few clouds,-20.3428,57.7575,Casa Tia Villa
52,Kapaa,US,73.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
58,Mahebourg,MU,80.6,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
59,Vila Velha,BR,75.99,light rain,-20.3297,-40.2925,Hotel Vitória Palace
61,Manokwari,ID,83.41,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
63,Kendari,ID,89.13,clear sky,-3.945,122.4989,Hotel Wixel
65,Rikitea,PF,78.85,clear sky,-23.1203,-134.9692,Pension Maro'i
69,Kununurra,AU,77.0,light rain,-15.7667,128.7333,Hotel Kununurra
70,Kahului,US,73.4,light rain,20.8947,-156.47,Maui Seaside Hotel
73,Cabedelo,BR,77.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
75,Coahuayana,MX,75.33,broken clouds,18.7333,-103.6833,Hotel Los Arcos
79,Bubaque,GW,77.76,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
83,Loandjili,CG,78.78,light rain,-4.7561,11.8578,Résidence ARCHANGE
85,San Andres,CO,80.6,few clouds,12.5847,-81.7006,Hotel Arena Blanca
87,Luganville,VU,85.62,broken clouds,-15.5333,167.1667,The Espiritu Hotel
90,Mount Gambier,AU,77.0,broken clouds,-37.8333,140.7667,Commodore on the Park
91,Butaritari,KI,79.86,moderate rain,3.0707,172.7902,Isles Sunset Lodge
93,Bulalacao,PH,81.66,light rain,12.3254,121.3435,By The Sea Hotels
98,Siocon,PH,80.58,overcast clouds,7.7061,122.1353,ABS Hotel
99,Bacolod,PH,81.46,overcast clouds,10.6667,122.95,Planta Hotel & Residences
100,Victoria,HK,71.01,overcast clouds,22.2855,114.1577,Mini Hotel Central
106,Chicama,PE,70.83,overcast clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
107,Port Lincoln,AU,75.43,clear sky,-34.7333,135.8667,Port Lincoln Hotel
119,Cayenne,GF,73.4,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
121,Kempsey,AU,84.0,broken clouds,-31.0833,152.8333,Park Drive Motel
123,Bahia Blanca,AR,89.94,clear sky,-38.7196,-62.2724,Hotel Argos
125,Poum,NC,79.48,light rain,-20.2333,164.0167,Gîte kajeon
131,Mercedes,AR,75.99,clear sky,-34.6515,-59.4307,Posada del Inti Centro
133,Vitoria,BR,75.99,light rain,-20.3194,-40.3378,Hotel Prata
134,Bartica,GY,73.4,scattered clouds,6.4,-58.6167,Relax Inn Hotel
135,Faanui,PF,81.79,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
136,Santa Rosa,PH,82.4,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
141,Namibe,AO,72.21,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
142,Souillac,MU,80.6,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
143,Airai,TL,74.68,light rain,-8.9266,125.4092,Juvinal Martin
150,Alofi,NU,86.0,light rain,-19.0595,-169.9187,Taloa Heights
152,Talara,PE,72.28,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
154,Lorengau,PG,85.86,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
158,Vanimo,PG,83.26,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
