City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jishou,CN,28.3167,109.7167,49.93,86,100,0.92,overcast clouds
1,Klaksvik,FO,62.2266,-6.589,35.6,64,75,24.16,light snow
2,San Cristobal,VE,7.7669,-72.225,65.05,85,37,1.36,scattered clouds
3,Ushuaia,AR,-54.8,-68.3,46.4,81,75,25.32,light intensity drizzle
4,Port Macquarie,AU,-31.4333,152.9167,90.0,44,46,1.99,scattered clouds
5,Koutsouras,GR,35.0339,25.9469,53.01,71,39,8.5,scattered clouds
6,Hilo,US,19.7297,-155.09,75.2,64,75,6.8,light rain
7,Chapais,CA,49.7834,-74.8492,5.0,85,90,9.22,light snow
8,Thompson,CA,55.7435,-97.8558,-9.4,84,90,3.24,light snow
9,Ilulissat,GL,69.2167,-51.1,15.8,67,89,2.3,overcast clouds
10,Albany,US,42.6001,-73.9662,33.01,58,23,5.19,light snow
11,Yar-Sale,RU,66.8333,70.8333,-35.99,83,100,7.96,overcast clouds
12,Salalah,OM,17.0151,54.0924,75.2,38,0,20.71,clear sky
13,Busselton,AU,-33.65,115.3333,90.0,42,0,3.0,clear sky
14,Atuona,PF,-9.8,-139.0333,78.42,78,57,14.07,broken clouds
15,Thanh Hoa,VN,19.8,105.7667,74.52,56,0,2.19,clear sky
16,San Patricio,US,28.017,-97.5169,64.4,100,90,4.61,mist
17,East London,ZA,-33.0153,27.9116,71.8,84,0,14.07,clear sky
18,Hukuntsi,BW,-24.0,21.75,73.47,63,99,9.57,overcast clouds
19,Nikolskoye,RU,59.7035,30.7861,17.6,86,90,13.42,overcast clouds
20,Port-Gentil,GA,-0.7193,8.7815,80.69,77,100,6.76,overcast clouds
21,Arraial Do Cabo,BR,-22.9661,-42.0278,74.62,91,29,10.51,scattered clouds
22,Berea,US,41.3662,-81.8543,37.0,64,20,11.5,few clouds
23,Lompoc,US,34.6391,-120.4579,50.0,87,1,3.44,clear sky
24,Half Moon Bay,US,37.4636,-122.4286,50.0,87,90,4.61,overcast clouds
25,Vaini,TO,-21.2,-175.2,84.2,84,75,13.8,light rain
26,Port Alfred,ZA,-33.5906,26.891,66.0,95,0,7.23,clear sky
27,Port Augusta,AU,-32.5,137.7667,99.0,20,0,14.97,clear sky
28,Qaanaaq,GL,77.484,-69.3632,11.41,91,86,1.74,overcast clouds
29,Sainte-Marie,RE,-20.8968,55.5496,78.8,78,75,10.36,broken clouds
30,Hobart,AU,-42.8794,147.3294,72.0,37,75,16.11,broken clouds
31,Punta Arenas,CL,-53.15,-70.9167,46.4,71,90,19.57,overcast clouds
32,Wakkanai,JP,45.4094,141.6739,26.6,59,75,19.57,broken clouds
33,Fenoarivo,MG,-18.933,47.4354,66.2,100,75,5.75,broken clouds
34,Barrow,US,71.2906,-156.7887,1.4,71,90,26.46,snow
35,Carnarvon,AU,-24.8667,113.6333,82.4,74,75,14.97,broken clouds
36,Carnot,CF,4.9409,15.8665,63.95,28,33,2.53,scattered clouds
