City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Khatanga,RU,2021-01-18 20:36:53,71.9667,102.5,-32.28,81,0,14.05
1,Port Macquarie,AU,2021-01-18 20:36:53,-31.4333,152.9167,68.0,100,40,5.75
2,Bykovo,RU,2021-01-18 20:36:53,55.6361,38.0803,3.0,84,40,2.24
3,Saint George,US,2021-01-18 20:36:53,37.1041,-113.5841,61.0,19,1,4.61
4,Punta Arenas,CL,2021-01-18 20:32:07,-53.15,-70.9167,55.4,62,40,18.41
5,Ballina,AU,2021-01-18 20:36:54,-28.8667,153.5667,68.0,88,78,3.44
6,Upernavik,GL,2021-01-18 20:36:54,72.7868,-56.1549,12.78,91,57,7.87
7,Vaini,TO,2021-01-18 20:36:54,-21.2,-175.2,82.4,83,20,9.22
8,Kahului,US,2021-01-18 20:32:57,20.8947,-156.47,75.2,73,75,13.8
9,Merauke,ID,2021-01-18 20:36:55,-8.4667,140.3333,76.33,88,95,4.61
10,Sobolevo,RU,2021-01-18 20:36:55,54.4299,31.8996,-2.83,92,100,2.35
11,Gladstone,AU,2021-01-18 20:36:55,-23.85,151.25,75.2,73,100,3.44
12,Tete,MZ,2021-01-18 20:36:55,-16.1564,33.5867,77.0,94,75,4.61
13,Torbay,CA,2021-01-18 20:35:16,47.6666,-52.7314,39.99,87,90,10.36
14,Hobart,AU,2021-01-18 20:36:16,-42.8794,147.3294,53.01,53,90,23.02
15,Arraial Do Cabo,BR,2021-01-18 20:36:55,-22.9661,-42.0278,84.2,61,0,23.02
16,Ushuaia,AR,2021-01-18 20:33:25,-54.8,-68.3,51.8,66,75,14.97
17,New Norfolk,AU,2021-01-18 20:36:56,-42.7826,147.0587,53.01,61,44,1.01
18,Busselton,AU,2021-01-18 20:36:56,-33.65,115.3333,66.0,63,5,7.63
19,Katsuura,JP,2021-01-18 20:36:56,35.1333,140.3,46.4,49,20,24.16
20,Hermanus,ZA,2021-01-18 20:36:57,-34.4187,19.2345,68.0,80,0,1.01
21,Basco,PH,2021-01-18 20:36:57,20.4487,121.9702,69.93,81,100,31.45
22,Bengkulu,ID,2021-01-18 20:36:57,-3.8004,102.2655,73.49,86,75,4.94
23,Carnarvon,AU,2021-01-18 20:36:36,-24.8667,113.6333,80.6,94,43,8.05
24,Port-Gentil,GA,2021-01-18 20:36:58,-0.7193,8.7815,82.4,78,40,12.66
25,Butaritari,KI,2021-01-18 20:36:58,3.0707,172.7902,80.38,82,49,17.69
26,Dikson,RU,2021-01-18 20:36:58,73.5069,80.5464,-18.98,84,3,19.33
27,Chokurdakh,RU,2021-01-18 20:36:58,70.6333,147.9167,-33.09,85,0,0.58
28,Hithadhoo,MV,2021-01-18 20:36:58,-0.6,73.0833,80.35,65,0,3.8
29,Provideniya,RU,2021-01-18 20:36:59,64.3833,-173.3,-2.2,78,75,13.42
30,Trofors,NO,2021-01-18 20:36:59,65.5333,13.4063,3.2,85,0,2.3
31,Kanganpur,PK,2021-01-18 20:36:59,30.7663,74.1231,49.77,73,0,4.47
32,Barrow,US,2021-01-18 20:36:59,71.2906,-156.7887,-2.2,78,90,19.57
33,Bluff,NZ,2021-01-18 20:36:59,-46.6,168.3333,51.01,92,100,1.99
34,Bambous Virieux,MU,2021-01-18 20:36:59,-20.3428,57.7575,80.01,100,75,9.22
35,Albany,US,2021-01-18 20:34:58,42.6001,-73.9662,37.0,68,100,1.99
36,Saint-Philippe,RE,2021-01-18 20:37:00,-21.3585,55.7679,80.6,83,0,3.44
37,Kodiak,US,2021-01-18 20:32:10,57.79,-152.4072,41.0,93,90,6.91
38,Yellowknife,CA,2021-01-18 20:35:01,62.456,-114.3525,5.0,85,90,3.44
39,Santa Maria,BR,2021-01-18 20:37:01,-29.6842,-53.8069,80.6,50,40,6.91
40,Parana,AR,2021-01-18 20:36:10,-31.732,-60.5238,91.99,22,0,2.98
41,Asasa,ET,2021-01-18 20:36:07,7.1,39.2,51.93,47,10,2.51
42,Bayan,CN,2021-01-18 20:37:02,46.0833,127.4,-22.95,84,0,4.99
43,Bethel,US,2021-01-18 20:37:02,41.3712,-73.414,41.0,52,90,11.5
44,Faanui,PF,2021-01-18 20:37:02,-16.4833,-151.75,80.85,76,6,16.31
45,Puerto Escondido,MX,2021-01-18 20:37:02,15.85,-97.0667,82.4,74,20,8.05
46,Saint-Pierre,RE,2021-01-18 20:37:03,-21.3393,55.4781,80.6,83,0,3.44
47,Te Anau,NZ,2021-01-18 20:37:03,-45.4167,167.7167,48.4,87,100,7.63
48,Isangel,VU,2021-01-18 20:37:03,-19.55,169.2667,86.0,79,75,3.29
49,Mega,ET,2021-01-18 20:37:03,4.05,38.3,64.98,27,100,14.27
